size,bedrooms,age,distance,price
1963.3,6,20.8,24.9,197.94
3783.2,1,24.1,31.3,292.27
3369.0,4,1.0,23.1,334.8
4492.5,5,13.0,5.9,452.93
2625.0,1,38.0,32.4,209.77
1038.2,6,6.9,25.4,178.08
3709.6,1,26.8,15.5,324.23
3923.5,3,10.8,27.0,341.49
3025.7,5,0.6,10.4,338.87
3969.4,6,12.1,13.8,404.17
2722.1,6,48.8,36.7,241.27
2852.3,2,40.1,11.6,251.36
2423.9,4,48.0,18.8,203.63
614.4,2,24.4,35.6,30.81
985.5,6,5.5,28.3,140.53
641.4,5,27.4,2.5,127.88
3363.8,1,22.7,5.9,291.9
1914.6,1,42.2,0.3,185.31
2788.6,5,4.9,25.2,312.58
4584.0,6,24.4,17.9,404.19
1621.8,1,7.5,5.4,184.38
2346.7,1,16.2,38.3,176.34
3900.0,1,36.9,21.2,317.44
1529.6,4,23.8,9.7,172.32
846.4,4,18.8,20.0,110.48
1803.9,3,19.7,27.2,169.69
1225.5,2,23.0,3.0,140.62
4683.6,5,39.3,11.0,403.94
4136.5,5,44.6,32.3,343.28
3350.3,5,47.8,18.4,280.94
4421.6,3,39.3,21.9,379.24
4116.5,4,15.8,17.3,352.75
1339.6,6,34.4,1.8,202.38
4516.5,6,21.9,6.6,450.34
2927.0,3,12.7,17.8,283.8
4133.5,6,42.0,8.4,362.02
4532.4,5,1.9,2.0,453.14
1931.0,2,45.1,33.7,155.15
995.2,1,23.1,39.2,54.56
1525.7,4,31.9,31.7,122.82
2422.0,4,33.0,34.2,196.51
4181.1,3,44.8,9.7,363.07
4373.3,4,31.8,38.4,344.05
531.3,5,30.7,7.9,124.6
2798.4,6,3.3,38.1,273.11
2378.3,5,25.9,39.8,201.51
1499.5,3,7.5,28.5,131.69
1039.4,5,36.9,39.2,102.1
2019.3,6,25.6,22.8,223.79
4743.1,2,34.0,10.4,394.76
1954.4,3,2.1,17.5,174.88
2834.6,2,4.2,23.7,264.02
3663.6,1,35.8,2.9,317.3
2136.3,2,3.6,24.9,205.72
4873.0,1,3.6,39.2,417.52
4831.0,1,0.6,7.6,434.2
1633.0,2,47.8,31.7,107.14
2737.6,3,36.9,36.3,197.83
1854.0,6,17.7,37.7,182.92
1781.8,5,14.8,38.4,175.51
666.0,5,17.5,20.9,108.73
3243.0,6,38.7,39.1,305.68
2762.1,1,33.1,30.3,216.52
731.7,1,9.3,6.5,99.32
1753.9,3,8.7,19.1,174.1
4587.2,4,4.9,28.7,414.01
1578.0,2,33.0,9.9,141.38
1152.0,1,38.2,25.6,85.9
2702.5,5,13.3,26.7,272.82
4935.4,3,1.0,6.5,461.04
1589.2,2,4.1,22.6,150.5
3524.6,3,48.4,30.9,244.12
3927.3,2,14.8,20.0,359.5
1569.4,2,38.5,0.5,170.05
3777.0,6,31.2,0.4,393.01
2155.0,1,19.1,14.3,172.25
3345.4,3,10.3,37.0,304.59
3350.9,3,6.1,9.1,322.56
2911.0,6,30.8,25.4,275.81
906.3,5,38.7,8.9,112.15
4258.9,5,32.2,12.9,368.8
1943.5,1,26.5,33.9,160.79
1339.3,1,2.1,29.2,140.96
683.5,4,48.4,3.8,97.78
3159.0,6,39.9,17.1,294.96
3549.0,5,14.6,1.2,364.78
574.6,2,49.0,19.2,42.72
2804.4,3,30.1,26.5,222.52
1519.2,1,29.1,4.7,146.82
3403.3,3,37.4,11.6,307.24
1284.6,3,40.6,15.9,141.71
3609.2,4,32.8,36.8,297.51
2240.3,5,6.4,39.7,190.91
4715.3,1,16.9,1.8,426.31
1118.8,3,46.4,30.4,82.95
2034.8,1,11.2,14.9,212.03
1010.6,2,18.6,15.7,133.86
4661.1,4,21.6,30.2,422.27
4448.0,2,22.0,36.7,344.77
1660.7,1,30.6,38.0,141.22
3469.9,1,47.2,23.1,270.45
4177.5,5,12.0,14.3,427.55
2998.4,3,6.1,31.5,260.2
2883.4,3,9.9,10.0,283.27
1588.3,2,44.3,22.6,131.83
919.0,4,32.3,14.3,118.51
4537.5,6,14.3,26.3,440.93
4551.9,3,40.8,9.6,393.63
3349.0,5,43.1,7.7,339.36
2025.6,2,42.3,36.7,154.14
2071.4,2,45.9,4.1,189.64
3766.8,6,12.6,20.2,380.78
4537.0,5,37.8,8.8,412.42
4491.9,4,23.0,1.6,463.81
4009.4,5,42.1,1.4,345.01
3389.1,4,36.4,7.0,331.6
878.6,5,38.8,34.7,60.73
1227.3,5,32.8,11.3,151.61
4543.5,1,8.9,38.0,358.08
3228.9,2,27.3,23.3,294.14
541.4,5,49.2,17.5,67.32
956.6,6,46.9,23.2,133.83
3485.8,5,2.2,20.7,328.37
522.8,3,8.2,30.4,89.86
1223.6,2,6.6,11.3,138.54
2969.3,3,36.3,14.1,268.46
3613.5,2,40.9,35.8,267.61
3433.8,3,10.7,37.9,308.53
1509.2,5,25.3,35.7,163.26
3704.8,5,42.0,16.8,344.24
1567.6,1,36.6,31.2,92.05
1964.3,6,27.1,19.1,206.09
3859.2,3,29.5,19.9,319.86
3423.3,4,25.4,8.2,297.52
4321.5,1,14.9,23.6,377.32
3459.3,3,28.3,7.4,318.09
3057.4,3,34.4,13.3,272.04
921.5,1,43.7,34.2,69.9
2154.7,5,31.8,8.3,227.35
1693.4,3,38.1,2.8,168.18
1598.0,5,8.0,2.8,213.87
4878.5,1,23.1,37.6,358.41
2268.9,5,0.5,20.3,255.83
4514.2,2,12.3,16.4,391.09
3340.1,4,36.3,32.4,271.96
4076.7,3,49.6,33.4,307.45
2761.9,6,5.0,13.3,305.41
3096.1,4,20.1,27.7,281.31
2716.3,5,40.0,30.8,231.3
1378.6,3,10.2,26.2,137.45
3751.0,5,27.8,6.1,367.47
1763.5,2,36.7,35.0,126.48
609.4,1,30.8,21.6,52.18
3404.6,3,9.4,11.3,317.75
1297.0,2,17.8,17.0,149.09
4732.1,2,39.2,1.5,416.41
4792.7,3,27.7,5.1,426.05
4616.9,5,0.3,30.6,428.38
2165.7,6,38.0,0.0,251.74
569.6,2,1.8,16.7,63.07
4677.4,4,37.3,20.9,408.12
2426.8,2,10.1,2.2,237.47
4849.9,6,47.9,38.9,415.34
4836.3,5,18.4,9.0,455.06
4338.5,5,16.3,12.2,427.44
1825.0,4,7.4,12.2,202.33
2232.9,2,15.3,9.2,223.64
4330.1,5,43.8,0.1,429.37
1926.1,6,49.8,29.2,176.41
1262.7,3,18.4,38.7,99.38
3005.6,1,22.4,9.0,278.85
4712.7,1,36.1,26.5,377.92
3632.1,1,44.3,29.7,262.35
3065.3,2,29.7,33.9,210.83
937.3,4,19.6,16.9,114.8
3267.5,5,20.6,12.1,336.93
4955.2,3,34.8,13.0,417.45
1130.4,6,0.2,28.5,157.36
2832.5,3,31.0,32.7,222.89
4448.2,6,17.8,7.3,411.68
3833.5,2,39.7,14.8,312.59
3636.6,1,4.6,36.1,303.19
3661.2,2,29.4,32.3,255.37
2117.7,4,24.0,39.4,184.9
1821.2,4,32.1,30.2,146.92
4142.1,6,3.2,15.7,424.38
4145.5,5,29.0,23.6,383.75
4401.8,5,28.1,26.4,387.48
4609.6,6,28.0,3.1,449.17
2801.0,4,30.2,21.8,245.12
2756.8,4,33.8,28.4,220.72
4092.3,4,40.2,6.7,400.65
3424.8,2,13.5,31.2,273.41
3658.9,4,41.3,23.4,338.09
4081.1,3,24.9,38.1,316.53
4505.0,1,3.9,1.7,422.61
2021.0,4,2.9,10.6,216.39
2190.1,6,16.7,24.1,243.55
922.9,1,39.2,11.9,79.74
3102.3,2,35.4,28.6,242.28
661.7,6,39.4,30.4,94.97
2595.2,1,25.9,4.1,233.71
2941.9,6,22.0,20.6,275.43
1789.4,2,7.4,20.4,188.05
3158.7,3,16.4,14.8,280.19
637.3,2,21.7,37.3,55.42
668.1,2,4.4,33.1,84.87
4201.7,6,11.0,27.9,389.85
2120.9,5,29.9,28.6,220.59
1071.8,4,36.8,18.5,125.78
2850.1,4,49.9,36.8,212.45
3965.0,3,46.7,27.8,339.16
1471.2,3,32.1,29.2,111.09
3303.0,4,21.1,34.5,279.96
884.1,5,31.8,11.0,125.69
732.6,4,39.3,32.3,77.8
2891.1,5,5.9,7.8,331.6
2932.9,3,20.5,13.8,293.32
3368.4,1,42.0,13.4,279.13
3767.4,6,19.2,39.1,333.18
4891.3,3,28.6,34.3,369.58
2823.4,3,29.4,28.0,220.64
1953.3,2,9.2,29.1,201.75
4078.3,2,18.1,22.5,320.49
1718.7,2,16.7,37.9,125.52
2475.4,6,1.3,19.9,294.31
853.1,2,1.2,15.2,117.63
614.1,5,41.6,6.5,120.02
4831.9,4,13.7,31.4,426.63
4261.9,1,25.9,29.4,358.18
3631.9,3,14.9,15.4,339.96
2340.3,5,47.0,1.0,258.08
1279.8,1,13.0,33.6,90.72
1204.0,5,21.5,0.5,187.16
1626.1,5,43.6,28.1,147.12
2971.5,3,42.1,38.8,219.04
3715.7,4,9.3,17.5,366.99
3470.9,2,40.1,9.4,315.02
1759.7,6,22.9,28.2,215.48
4796.9,4,24.1,32.7,429.77
3820.5,6,6.7,21.9,391.19
2994.6,3,4.0,38.7,232.51
3252.7,3,36.4,2.1,335.36
2388.2,3,24.8,20.2,234.69
1614.8,1,21.8,28.7,117.21
2101.9,6,36.5,34.5,208.14
3910.3,4,38.3,7.2,345.83
564.8,4,7.9,32.0,90.14
1022.3,5,30.5,22.1,104.49
707.0,5,6.8,15.9,115.15
683.3,5,37.6,5.3,127.28
4349.6,3,32.8,34.6,365.92
3666.5,4,47.8,6.3,340.51
2633.8,6,3.4,12.4,295.09
940.3,3,2.9,11.6,103.78
2712.3,1,14.1,34.9,210.22
2630.6,5,13.1,26.9,267.62
1279.4,3,12.3,31.9,119.91
2452.3,3,45.3,10.0,224.61
2293.3,1,12.5,25.0,193.18
3271.3,2,13.6,22.9,281.65
3357.9,4,38.0,33.3,279.42
703.9,6,22.5,36.2,89.92
2185.8,2,38.8,0.5,234.72
3316.4,5,3.3,27.0,289.08
2764.1,3,24.4,2.1,270.27
4354.2,1,1.7,22.0,360.92
3464.1,1,3.1,11.5,320.68
1233.2,4,45.3,12.3,135.12
817.6,2,7.0,14.1,132.99
3390.9,4,26.6,24.9,331.91
619.3,3,20.6,13.4,81.37
3136.0,4,17.4,29.3,283.02
4731.0,6,45.0,16.2,431.12
3089.6,1,1.1,2.7,290.27
2246.8,1,33.2,31.4,175.51
3394.8,5,48.2,11.4,312.33
2562.1,5,28.0,17.3,240.6
2955.3,3,46.8,27.4,233.69
4736.6,6,2.6,13.3,451.93
2237.5,2,20.9,2.3,244.38
4825.4,4,13.0,15.0,471.66
4574.1,3,36.5,37.8,363.7
1381.1,5,49.1,25.7,134.33
812.1,4,12.8,26.9,106.66
953.5,5,32.7,25.3,129.9
582.0,4,9.9,8.0,134.05
925.0,2,28.3,16.7,94.58
3573.5,3,23.2,30.0,306.11
820.3,4,48.6,4.1,120.38
1935.4,6,30.4,11.1,206.8
4301.9,1,17.5,11.1,391.69
604.7,6,5.7,17.3,153.89
4165.1,6,7.6,39.2,395.8
1768.3,1,11.3,2.7,169.69
1031.7,6,12.5,20.7,121.94
3635.3,4,42.5,7.2,346.65
3330.2,4,28.1,38.8,264.33
4448.6,4,26.2,4.5,422.49
3807.8,1,5.7,16.1,358.94
4115.7,6,43.0,29.5,350.75
1769.2,1,36.1,28.2,124.69
1298.5,4,3.4,16.9,169.96
3877.8,6,35.4,13.9,351.59
4130.8,6,27.2,15.9,383.49
4957.3,5,4.1,10.6,477.78
2356.8,5,22.9,8.2,253.42
2174.1,2,24.2,19.3,204.74
3993.9,3,8.3,10.7,418.31
2033.6,5,47.3,11.5,209.09
4688.4,1,42.5,26.3,349.0
4362.9,5,33.5,38.7,385.46
2430.5,2,23.1,24.1,185.98
3878.9,6,20.6,3.1,378.35
3895.4,2,32.5,3.0,342.21
964.1,6,27.3,38.1,103.89
4561.5,6,3.1,11.9,445.3
2773.6,3,25.6,3.7,275.39
4219.1,5,40.3,24.0,373.41
1940.2,1,23.0,24.9,175.5
4529.9,1,2.6,25.9,382.83
2251.4,4,39.3,10.7,214.19
548.8,6,10.1,0.6,160.14
4574.2,1,12.9,38.6,345.45
910.8,3,8.2,10.0,106.81
1936.9,6,16.5,27.0,229.34
4775.3,3,37.8,28.3,406.46
4777.7,1,26.0,24.4,372.93
3080.5,1,10.2,12.5,273.54
3343.3,4,43.9,10.8,292.39
2518.0,1,44.0,23.9,195.29
1819.4,6,43.5,34.6,194.83
1979.0,6,11.9,37.9,212.49
3526.3,6,22.6,4.2,383.26
3885.7,4,49.2,6.2,364.49
4062.1,4,38.6,37.8,327.39
4053.3,1,1.4,29.5,355.14
910.4,2,3.3,35.3,98.42
2724.9,2,23.2,8.1,278.87
759.0,4,45.5,23.5,72.18
2972.9,1,26.9,28.0,208.24
2486.9,2,24.9,27.2,223.91
4494.7,1,5.3,16.3,396.13
2079.1,1,32.8,0.6,194.75
1026.8,1,41.1,23.3,70.71
1143.5,5,19.0,10.1,199.45
3926.8,6,38.8,18.0,356.47
3282.0,1,48.2,38.3,213.75
955.1,5,10.2,16.0,145.53
878.5,4,26.2,33.6,106.63
3654.4,2,14.4,7.5,373.76
827.4,6,39.6,26.9,114.02
4198.4,2,28.9,39.1,305.05
3678.1,6,31.7,4.1,402.3
866.1,2,39.9,0.3,106.63
881.8,6,19.8,17.3,126.19
4939.9,2,45.8,3.7,406.81
2184.2,2,26.7,29.9,191.07
2167.9,2,7.9,36.6,185.79
4157.6,2,34.8,17.4,353.84
4762.6,4,39.7,10.3,443.1
4937.0,1,15.8,17.4,404.19
3890.2,3,42.9,28.9,334.04
2193.2,5,45.3,0.4,230.83
875.8,3,13.8,23.6,136.08
3997.2,3,49.2,24.5,332.65
3012.8,6,7.0,25.5,293.37
2409.0,1,10.1,9.7,199.71
4578.6,6,9.2,28.6,438.16
1000.4,1,44.7,3.7,93.11
2716.8,1,32.7,8.0,236.85
551.1,2,7.6,35.1,66.85
2609.0,4,22.0,29.5,252.03
753.4,2,30.8,0.5,123.24
1034.7,4,4.2,9.9,136.94
1028.9,6,44.1,8.6,165.52
3421.4,4,40.2,10.8,306.67
3857.2,6,25.3,9.9,349.64
3125.2,3,48.4,2.5,269.87
4829.8,3,20.9,18.4,425.33
2186.9,4,49.2,29.3,166.96
1785.7,4,33.4,24.3,168.37
4408.7,6,31.7,26.9,402.06
1506.2,2,8.3,3.2,176.34
4834.5,6,44.1,38.1,396.91
554.7,2,21.4,33.5,28.25
4864.5,3,8.1,32.2,414.71
694.2,1,0.6,32.9,34.73
4510.1,4,28.0,37.3,362.17
2874.7,2,26.4,21.8,232.24
4968.3,6,36.0,8.0,463.07
832.1,3,44.5,24.7,70.72
2992.3,2,4.0,29.7,276.03
4861.9,6,36.6,29.5,449.17
2853.9,4,9.4,20.9,262.68
3332.3,4,42.9,2.7,348.11
3630.9,5,41.0,14.8,323.78
2545.4,1,27.0,36.8,189.42
3324.0,5,35.5,23.4,310.08
3129.4,3,15.7,21.5,322.21
4555.2,2,23.6,10.8,391.2
704.5,3,41.1,14.7,54.48
1764.3,6,23.0,35.8,201.4
4776.9,4,17.9,26.7,405.28
4506.2,5,24.7,31.5,388.06
2550.5,5,41.4,18.2,226.85
3290.6,5,16.8,25.2,306.63
1748.2,3,8.7,9.9,185.44
1346.5,4,35.6,28.2,137.09
2586.6,2,41.3,17.1,219.45
2090.1,6,5.0,17.7,236.44
3126.5,2,12.0,26.0,286.46
849.8,3,7.1,37.5,89.88
4884.8,6,17.4,2.6,455.27
4937.9,5,22.5,33.0,441.33
3641.7,1,37.4,11.7,306.64
2912.4,3,32.6,17.8,281.07
1892.9,3,31.0,0.9,207.14
4162.1,4,17.6,12.0,379.01
3581.3,2,42.1,20.1,289.61
1231.8,3,23.6,2.2,168.42
4599.2,3,49.0,19.6,367.77
4201.4,5,31.7,37.1,348.5
4774.1,5,6.3,4.2,467.26
3765.7,6,33.8,30.6,321.08
3260.4,1,16.3,16.4,271.85
2382.1,4,34.3,26.2,216.42
4697.3,1,3.5,10.4,435.42
4397.3,6,8.7,6.4,449.98
703.5,5,42.8,6.4,111.75
618.7,2,11.4,2.8,93.71
2194.1,5,41.9,7.4,247.34
4147.5,4,14.0,26.6,377.2
4942.7,5,32.1,35.3,406.19
1176.9,4,34.7,32.6,120.97
3173.6,4,25.6,27.4,290.7
2214.0,4,15.3,4.4,236.08
4864.6,6,10.6,11.6,471.77
4289.5,4,1.7,12.4,405.81
4272.5,4,15.2,10.0,444.14
2609.1,2,32.7,20.6,229.64
2366.7,1,46.9,21.4,182.52
1730.3,3,43.6,14.3,169.18
753.7,1,38.3,14.2,89.04
4391.3,4,39.4,33.1,358.88
4158.1,2,33.2,31.6,319.84
4998.7,5,13.0,12.3,483.71
4984.9,2,45.4,36.6,374.95
2999.4,4,33.5,38.1,229.95
3960.4,2,28.0,13.1,325.81
4751.4,2,5.5,14.2,447.35
4323.4,4,22.4,20.2,389.63
1613.1,6,23.0,37.6,155.4
2527.4,2,43.2,35.1,181.47
1081.2,3,27.3,4.1,150.62
4793.2,3,19.0,15.7,420.3
3227.8,2,48.8,22.1,234.29
1528.9,6,5.5,20.1,202.65
3522.7,5,21.1,7.8,371.36
3281.6,4,2.1,34.4,316.37
2111.7,3,37.0,27.1,170.3
1011.0,5,45.9,33.5,112.95
3522.1,2,14.0,34.4,292.16
2841.4,5,42.9,29.9,266.76
3975.4,1,14.6,17.6,348.56
2840.7,3,45.5,24.4,211.43
4334.8,2,37.7,6.4,403.23
2983.6,4,40.2,26.9,256.95
3024.2,6,0.9,7.2,349.07
4444.9,2,48.1,27.8,325.25
2315.7,4,36.3,9.2,240.0
1103.1,6,15.2,4.7,195.58
629.5,6,41.5,6.6,146.29
3898.1,2,14.1,0.1,391.42
3291.4,5,43.6,28.7,293.7
3668.4,5,5.6,29.3,321.88
1458.3,6,35.2,20.6,169.59
1113.7,5,27.0,6.5,148.86
565.5,1,4.8,3.3,99.97
2077.6,6,12.1,0.8,247.08
3154.6,6,0.6,6.6,348.84
2265.1,4,23.4,35.6,191.33
2468.6,5,15.1,9.7,262.64
4568.7,6,29.9,14.2,422.2
2067.1,1,14.9,4.2,205.11
2813.0,4,15.0,8.9,293.98
4026.4,2,37.2,20.8,293.67
2284.4,6,2.4,24.3,218.74
3299.4,1,45.1,9.8,268.09
4380.6,3,42.6,2.3,389.95
4772.8,1,33.4,15.6,394.54
1161.8,1,29.7,9.4,104.17
4669.6,4,44.6,8.8,414.83
2714.5,2,9.3,38.4,224.02
1662.1,3,3.9,24.7,161.78
2566.1,5,12.0,22.3,277.44
4910.1,5,39.7,16.6,438.8
2716.8,1,1.7,17.2,258.39
1979.4,4,29.1,21.6,193.7
3350.3,4,49.8,27.9,307.89
1580.7,5,42.8,28.1,159.01
841.4,3,26.1,6.9,108.76
1080.0,2,3.2,20.0,136.15
1076.2,3,41.6,16.5,83.5
1183.6,6,29.9,34.8,130.36
1124.7,6,5.7,25.3,162.25
3383.9,2,4.7,21.3,306.97
1318.5,5,45.5,4.6,157.17
2055.5,2,33.5,24.2,156.16
4535.5,4,41.5,4.7,400.75
2632.8,6,43.9,13.5,266.79
3504.0,1,28.6,5.7,292.19
1275.4,1,25.9,27.7,126.31
1365.3,5,21.5,8.3,139.96
683.9,4,15.8,15.7,103.67
1260.2,3,21.7,35.8,111.41
1753.7,4,38.7,8.2,194.65
1296.5,1,30.1,20.3,95.45
899.2,1,44.6,16.8,88.07
1042.9,6,22.2,0.7,153.71
2573.5,4,30.4,31.7,215.52
1428.5,4,31.6,2.8,184.11
2139.2,1,29.6,19.0,194.56
2765.4,3,35.1,22.4,218.49
3606.8,5,11.9,25.1,381.05
676.9,5,25.6,27.5,78.96
4097.3,4,5.2,10.1,378.79
3325.6,5,19.2,0.4,357.63
867.9,1,24.4,28.9,61.34
4431.1,1,32.6,21.4,348.87
4643.9,4,47.5,33.4,382.35
774.9,4,30.0,32.9,55.73
1745.9,6,37.2,33.7,143.83
4127.9,4,25.3,19.4,361.93
3867.2,3,31.7,13.3,360.23
1330.3,5,3.5,31.7,147.76
1442.1,4,12.7,18.1,192.05
2167.1,2,18.1,7.3,235.95
2680.4,6,23.6,34.2,258.5
3282.1,2,2.3,35.3,282.87
2160.1,1,7.0,18.7,203.39
2581.4,5,13.8,3.0,293.37
3863.6,4,48.6,15.5,331.46
665.1,2,16.6,32.1,58.03
1636.0,5,24.1,36.1,141.4
3710.1,1,9.8,8.1,303.67
4528.4,3,30.5,2.7,430.38
2802.5,6,14.0,35.1,272.71
2894.5,5,10.3,15.6,300.01
982.3,5,25.8,21.7,131.37
2513.4,3,0.3,38.7,210.36
2896.8,5,0.4,2.7,312.36
1591.1,1,11.0,25.9,135.38
1711.6,1,1.8,3.0,211.51
2197.8,3,5.4,15.0,211.47
590.3,6,16.9,32.2,56.0
1949.4,4,40.1,17.3,180.1
1451.5,2,28.6,39.9,120.53
1973.7,4,25.6,22.4,167.83
1038.9,5,14.7,12.8,134.45
4507.4,2,46.6,8.8,384.07
3171.2,3,19.9,14.0,335.32
3556.0,3,4.4,14.9,318.24
4051.3,6,30.9,2.7,384.38
2743.0,2,5.7,14.8,267.76
891.1,1,17.3,18.6,107.62
2917.0,2,25.4,28.9,230.33
3140.8,5,43.7,26.3,252.53
3854.5,1,24.7,28.4,312.51
2442.5,3,35.1,0.3,256.09
1074.1,2,49.6,8.7,129.88
1777.0,4,6.6,26.5,196.98
2133.9,6,13.7,19.4,253.07
3406.6,4,19.7,0.2,342.54
3068.5,6,21.1,32.2,326.92
2102.4,5,20.6,30.9,199.39
4939.3,4,45.4,21.9,406.8
3226.0,2,35.7,2.7,322.61
1567.5,2,30.4,30.7,102.92
958.0,4,15.5,23.3,91.58
1187.9,2,41.2,31.3,86.92
1606.8,5,47.8,30.1,145.13
1223.1,1,41.1,32.1,73.4
1339.6,5,0.1,20.7,190.95
1782.9,6,31.8,5.6,205.17
1280.2,5,2.6,26.8,161.1
4535.4,6,12.9,24.8,419.91
861.1,2,3.0,29.7,78.57
2860.3,1,30.2,6.8,253.54
2346.8,2,34.3,7.8,231.39
4920.7,3,5.7,35.6,447.5
1004.2,2,19.2,30.0,98.67
2290.4,6,22.8,36.3,182.88
4862.6,2,18.5,30.3,398.19
4394.8,2,6.1,23.9,381.6
4176.8,1,20.9,26.2,352.17
1660.6,2,37.6,35.6,122.14
1269.0,1,3.6,23.2,142.64
3508.9,4,4.0,25.3,335.44
4682.2,3,17.7,6.3,454.35
3005.4,1,47.1,19.0,227.67
3072.3,6,33.4,28.7,288.18
1759.9,4,33.9,10.8,199.87
3962.7,1,18.1,8.1,341.8
1341.7,1,29.7,12.6,112.83
1956.6,3,0.5,9.7,212.14
2414.5,6,31.8,8.6,253.58
2784.2,5,45.7,17.0,268.51
1590.8,5,30.6,36.3,120.81
1016.8,1,43.7,20.3,52.59
3247.8,2,36.2,7.5,317.56
1798.8,6,6.0,3.1,233.58
3115.6,4,45.1,27.8,264.47
1194.6,2,3.3,15.3,117.64
2665.1,2,26.7,32.9,213.91
2896.7,6,7.1,26.4,285.67
733.2,1,0.6,31.8,47.03
2014.7,1,21.1,10.9,208.0
1104.9,1,14.8,27.7,112.74
785.2,1,24.3,10.6,85.87
4954.8,5,28.9,37.6,431.86
1950.6,1,2.2,25.5,204.59
4144.4,5,6.2,13.0,418.4
1645.9,5,27.9,10.8,200.35
3566.8,1,17.2,7.6,323.17
3921.0,3,36.5,27.8,332.52
3180.4,4,32.6,8.7,299.84
2622.1,2,42.3,23.8,206.08
2353.3,5,34.6,10.6,251.45
2069.9,6,21.5,26.5,211.53
4682.9,6,33.6,32.6,403.37
4237.8,4,13.8,31.1,371.34
4842.6,6,15.3,30.4,456.83
1059.3,3,39.4,7.5,104.98
3788.9,6,22.3,3.5,401.41
4722.5,2,39.9,28.0,385.76
1315.5,2,41.1,14.7,132.1
799.2,5,42.9,17.3,91.56
3835.0,1,45.8,1.2,302.97
3085.1,3,21.5,10.4,302.4
4288.2,5,15.9,1.3,431.2
1129.0,3,29.1,35.2,109.31
4078.7,1,18.6,9.7,346.36
1407.3,6,30.1,22.3,176.46
1236.5,6,35.3,1.6,194.1
1239.2,1,34.4,26.7,90.14
4165.6,5,18.7,12.9,405.19
3493.4,1,8.3,35.9,284.71
2853.8,4,21.5,35.5,235.53
2114.7,2,7.1,13.0,221.96
4447.4,5,44.5,36.0,390.53
2266.0,3,17.3,39.8,188.07
4174.7,4,7.7,33.0,346.4
2476.1,5,1.3,33.8,236.04
2196.2,1,32.3,10.0,168.16
